Modelo,Tipo,mse_mean,mae_mean,rmse_mean,r2_mean,nash_sutcliffe_efficiency_mean,ssim_mean,correlation_pearsonr_mean,max_true_mean,max_pred_mean
predict_10min,Predição,2.1287265,0.6829931,1.2349861,0.5291692,0.5291692,0.6108554635056491,0.78409815,13.186287,13.436836
predict_10min,Persistência,2.782737,0.68347204,1.4384842,0.24699377,0.24699377,0.6356316045040943,0.7433727,13.186287,14.25735
predict_20min,Predição,3.289994,1.0623405,1.6746299,0.032028235,0.032028235,0.2291445543818406,0.41521606,12.143348,6.0799084
predict_20min,Persistência,7.221677,1.1314394,2.3302093,-0.9359352,-0.9359352,0.35072680836034636,0.41465205,12.143348,16.653355
predict_30min,Predição,4.4808517,1.1676253,1.9801432,-0.29316384,-0.29316384,0.08734562428166534,0.008183432,11.540289,3.760681
predict_30min,Persistência,6.130912,1.2901443,2.3510697,-1.1668313,-1.1668313,0.17877476902112868,0.20443457,11.540289,12.733551
predict_40min,Predição,5.5801105,1.3136287,2.170889,-0.11122085,-0.11122085,0.11320002050592712,0.14780188,15.534365,3.0183039
predict_40min,Persistência,9.431315,1.4276472,2.847405,-1.4638262,-1.4638262,0.21347453280992124,0.14129035,15.534365,15.245272
predict_50min,Predição,8.683771,1.4788231,2.7073426,-0.23366949,-0.23366949,0.11427560211687662,-0.0027061072,18.019997,3.3900497
predict_50min,Persistência,12.200882,1.8393768,3.316779,-1.1134684,-1.1134684,0.1124473722490183,0.01551465,18.019997,15.806193
predict_60min,Predição,6.7876406,1.303631,2.3585875,-0.03905507,-0.03905507,0.17525094710567474,0.13023347,16.991571,2.8721874
predict_60min,Persistência,12.20542,1.6997116,3.2549577,-1.1906407,-1.1906407,0.06407929975246064,-0.072757244,16.991571,17.052174
